"brainregion","disease","count"
"Structure of paraventricular nucleus of thalamus","Parkinson Disease","1"
"Right caudate nucleus","Parkinson Disease","1"
"Structure of locus ceruleus","Coronary Artery Disease","1"
"Cortex, Primary Motor","Mohr-Tranebjaerg syndrome","1"
"Posterior Thalamic Nuclei","Sensitization (disorder)","1"
"Structure of zona incerta","Sleep Disorders","1"
"Central insular sulcus","Andersen Syndrome","1"
"Structure of angular gyrus","Triglyceride storage disease with ichthyosis","1"
"Purkinje Cells","Hashimoto Disease","1"
"Entire thalamic reticular nucleus","Retinal Diseases","1"
"Ventral Striatum","Shwachman syndrome","1"
"Hypothalamic Area, Lateral","Parkinson Disease","1"
"Neocortex","Hashimoto Disease","1"
"Genus Hippocampus","Camurati-Engelmann Syndrome","1"
"Structure of nucleus infundibularis hypothalami","Zellweger Syndrome","1"
"Structure of medial mammillary nucleus","DISORDERS OF THE OPTIC NERVE","1"
"Auditory pathway structure","Skin endocrine disorder","1"
"Cerebral cortex","Allan-Herndon-Dudley syndrome","1"
"Structure of fissure of Sylvius","Contact lens overwear syndrome (disorder)","1"
"Purkinje Cells","Li-Fraumeni Syndrome","1"
"Dorsal Nucleus Raphe","Liver diseases","1"
"BRAIN, HIPPOCAMPUS","Congenital absence of kidneys syndrome","1"
"Olfactory Nerve","Lung diseases","1"
"Entire thalamic reticular nucleus","Spinal Cord Diseases","1"
"Structure of genu of corpus callosum","Pervasive Development Disorder","1"
"Cerebral cortex","Chronic myeloproliferative disorder","1"
"CA3 field","Triglyceride storage disease with ichthyosis","1"
"Genus Hippocampus","Disorder of pineal gland","1"
"Parahippocampal Gyrus","Pituitary Diseases","1"
"Cortex, Primary Motor","neuropathology disease","1"
"CA3 field","Disorder nervous system","1"
"Basal Nucleus of Meynert","Fragile X Syndrome","1"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Turner Syndrome","1"
"Thalamic structure","Degenerative brain disorder","1"
"Pituitary Gland","Movement Disorders","1"
"Structure of nucleus infundibularis hypothalami","Prune Belly Syndrome","1"
"Telencephalon","Fetal Alcohol Syndrome","1"
"Ventral Tegmental Area","Autistic Disorder","1"
"Cerebrum","Bipolar Disorder","1"
"Lateral ventricle structure","Virus Diseases","1"
"Globus Pallidus","Sequela of disorder","1"
"Substantia nigra structure","Anxiety Disorders","1"
"Insula of Reil","Aicardi's syndrome","1"
"Structure of subthalamic nucleus","Disorders, Mental","1"
"Midbrain nucleus","Chronic Fatigue Syndrome","1"
"Right cerebral hemisphere","Parkinson Disease","1"
"Medulla Oblongata","Eosinophilic disorder","1"
"Lateral ventricle structure","Hamartoma Syndrome, Multiple","1"
"Prosencephalon","Tangier Disease","1"
"Cerebrum","Hypertensive disease","1"
"Cerebral Peduncle","Migraine Disorders","1"
"Posterolateral auditory cortex","Inflammatory Bowel Diseases","1"
"Medial Septal Nucleus","Niemann-Pick Disease, Type C","1"
"Pars Compacta","Autonomic nervous system disorders","1"
"Cerebrum","Alpers' Disease","1"
"Brain Stem","Huntington Disease","1"
"Purkinje Cells","Dyskinetic syndrome","1"
"Structure of subthalamic nucleus","Speech Disorders","1"
"Structure of limitans nucleus","Pituitary Diseases","1"
"Parabrachial Nucleus","Sensitization (disorder)","1"
"Midbrain structure","Shy-Drager Syndrome","1"
"Diffuse reticular nucleus","Rett Syndrome","1"
"CA2 field","Norrie disease","1"
"Cortex, Primary Motor","Acute infectious disease","1"
"Posterior cerebral commissure","Neurotoxicity Syndromes","1"
"Structure of dentate gyrus","Thyroid Diseases","1"
"Visual Cortex","Pendred's syndrome","1"
"Anterodorsal nucleus of thalamus","Mixed anxiety and depressive disorder","1"
"Inferior Colliculus","Alagille Syndrome","1"
"Paleocerebellum","Spinal Cord Diseases","1"
"Motor Cortex","Cat-Scratch Disease","1"
"Structure of nucleus gracilis","Colonic Diseases","1"
"Corpus striatum structure","Mixed anxiety and depressive disorder","1"
"Substantia innominata","Spinal Cord Diseases","1"
"Motor Cortex","Meningeal disorder","1"
"Genus Hippocampus","Parasitic Diseases","1"
"Tectospinal tract of medulla","Rabies (disorder)","1"
"Structure of entorhinal cortex","Pervasive Development Disorder","1"
"Structure of tectobulbar tract","Macrophage Activation Syndrome","1"
"Structure of longitudinal cerebral fissure","Disease Progression","1"
"Structure of rhomboidal nucleus of thalamus","Rectal Diseases","1"
"CA1 field","Acute infectious disease","1"
"Structure of suprachiasmatic nucleus","Parkinson Disease","1"
"Structure of fissure of Sylvius","Pituitary Diseases","1"
"Thalamic structure","Cockayne Syndrome, Type I","1"
"Neostriatum","Substance Withdrawal Syndrome","1"
"Pontine nuclei","neuropathology disease","1"
"Entire temporal lobe gyrus","Alzheimer's Disease","1"
"Genus Hippocampus","motor disorder","1"
"Temporal Lobe","Cholestasis-edema syndrome, Norwegian type","1"
"Amygdaloid structure","Motor Neuron Disease","1"
"Pyramidal Tracts","Pyramidal tract syndrome","1"
"Motor Cortex","Fetal Alcohol Spectrum Disorders","1"
"Area striata structure","Melkersson-Rosenthal Syndrome","1"
"Pyramidal cell of precentral gyrus of cerebral hemisphere","Down Syndrome","1"
"Amygdaloid structure","Chediak-Higashi Syndrome","1"
"Structure of supramammillary nucleus","Obsessive-Compulsive Disorder","1"
"Corticotroph","Cushing Syndrome","1"
"Pineal gland","Huntington Disease","1"
"Anterior insula","Bipolar Disorder","1"
"Medulla Oblongata","Renal tubular disorder","1"
"Vestibular Nerve","Spinal Cord Diseases","1"
"Structure of zona incerta","Parkinson Disease","1"
"External capsule","Creutzfeldt-Jakob disease","1"
"Subicular complex","Alzheimer's Disease","1"
"Central Dorsal Nucleus","Antisocial Personality Disorder","1"
"Flocculus","Spinal Cord Diseases","1"
"Entire brainstem","Respiratory Distress Syndrome, Newborn","1"
"Pyramidal Cells","Perceptual Disorders","1"
"Cerebrum","Feline urological syndrome","1"
"Pyramidal Tracts","Sensory Disorders","1"
"Internal capsule posterior limb structure","Spinal Cord Diseases","1"
"Brain Stem","Substance Withdrawal Syndrome","1"
"Structure of dentate gyrus","Virus Diseases","1"
"Pontine structure","Hypertrophic disorder of skin, unspecified","1"
"Hindbrain","Renal glomerular disease","1"
"Cortex, Primary Motor","Celiac Disease","1"
"Cerebral cortex","Temporomandibular Joint Dysfunction Syndrome","1"
"Olivocerebellar fibers","Retinal Diseases","1"
"Cerebral cortex","Motor speech disorder","1"
"Neostriatum","Chronic pelvic inflammatory disease of the female pelvic organs AND/OR tissues","1"
"Entire midbrain","Herpes zoster disease","1"
"Motor Cortex","Pervasive Development Disorder","1"
"Hypothalamic structure","Melkersson-Rosenthal Syndrome","1"
"Lingual gyrus","Psychotic Disorders","1"
"Inferior olivary nucleus","DISORDERS OF THE OPTIC NERVE","1"
"Lateral habenular nucleus","Temporomandibular Joint Disorders","1"
"Metencephalon","Migraine Disorders","1"
"Lateral ventricle structure","CNS disorder","1"
"Dorsal Septal Nucleus","Prune Belly Syndrome","1"
"Entire hypothalamus","Sleep Disorders","1"
"Cerebrum","Sequela of disorder","1"
"Olfactory Cortex","Retinal Diseases","1"
"CA1 field","Meconium Aspiration Syndrome","1"
"Habenular Nucleus","Major Depressive Disorder","1"
"Prefrontal Cortex","Irritable Bowel Syndrome","1"
"precerebellar nuclei","Hamartoma Syndrome, Multiple","1"
"Structure of trigeminal nerve spinal tract nucleus","Vasodilation disorder","1"
"Midbrain structure","Sequela of disorder","1"
"Structure of supramammillary nucleus","Gilles de la Tourette syndrome","1"
"Structure of superior cerebellar peduncle","Herpes zoster disease","1"
"Brain White Matter","Sequela of disorder","1"
"Tectopontine fibers","neuropathology disease","1"
"Corpus Callosum","Nicolaides Baraitser syndrome","1"
"Ependyma","Acute infectious disease","1"
"Entire brainstem","Chronic Fatigue Syndrome","1"
"Entire hypophysial stalk","Herpes zoster disease","1"
"Basal Ganglia","Mood Disorders","1"
"Structure of locus ceruleus","Autonomic nervous system disorders","1"
"BRAIN, HIPPOCAMPUS","Alcoholic Liver Diseases","1"
"Structure of prerubral area","Depressive disorder","1"
"Corpus striatum structure","Bloom Syndrome","1"
"Cerebellum","Alcohol use disorder","1"
"External capsule","Huntington Disease","1"
"Structure of gyrus ambiens","Mild cognitive disorder","1"
"Area striata structure","Neurotoxicity Syndromes","1"
"Medial Dorsal Nucleus","Language Disorders","1"
"Dorsal Septal Nucleus","Hirschsprung Disease","1"
"Tectospinal tract of medulla","Tay-Sachs Disease","1"
"Anteroventral cochlear nucleus","Disease Progression","1"
"Structure of locus ceruleus","Syndrome","1"
"Medial Dorsal Nucleus","Renal glomerular disease","1"
"Cerebrum","Meningeal disorder","1"
"Structure of hippocampal fissure","Brain Diseases","1"
"Entire periaqueductal gray matter","Vasodilation disorder","1"
"Nucleus of anterior commissure","Brain Diseases","1"
"Corpus Callosum","Cholestasis-edema syndrome, Norwegian type","1"
"Temporal Lobe","Alpers' Disease","1"
"Ventral premammillary nucleus","cortex bone disorders","1"
"CA2 field","Stiff-Person Syndrome","1"
"Submedial Nucleus","Retinal Diseases","1"
"Vestibular Nerve","Nose Diseases","1"
"Right inferior occipitofrontal fasciculus","Obsessive-Compulsive Disorder","1"
"Structure of mammillotegmental tract of hypothalamus","Hashimoto Disease","1"
"Paracentral sulcus","Syndrome","1"
"Planum polare (PP)","Functional disorder","1"
"Marginal Sulcus","Hereditary Neurodegenerative Disorder","1"
"Olfactory Cortex","Functional disorder","1"
"Cortex, Primary Motor","Migraine Disorders","1"
"Posterior cerebral commissure","Cerebellar Diseases","1"
"Lateral ventricle structure","Autism Spectrum Disorders","1"
"Structure of nucleus infundibularis hypothalami","Uterine Diseases","1"
"Entire medulla oblongata","Renal tubular disorder","1"
"Structure of suprachiasmatic nucleus","Peripheral Arterial Diseases","1"
"Triangular Septal Nucleus","Williams Syndrome","1"
"Entire cerebellum","Autistic Disorder","1"
"Occipital gyrus","Asperger Syndrome","1"
"Structure of putamen","Neurotoxicity Syndromes","1"
"Anterodorsal nucleus of thalamus","Language Disorders","1"
"CA2 field","Cyclical vomiting syndrome (disorder)","1"
"Cerebellar cortex structure","Renal glomerular disease","1"
"Structure of medial mammillary nucleus","Retinal Diseases","1"
"Hypothalamic structure","Rare Diseases","1"
"Cerebral hemisphere structure (body structure)","Peroxisomal Disorders","1"
"Central gray substance of midbrain","Mixed anxiety and depressive disorder","1"
"Structure of tegmental portion of pons","Paramyotonia congenita (disorder)","1"
"Structure of superior central nucleus of pons","Liver diseases","1"
"Basal Nucleus of Meynert","Tic disorder","1"
"Parietal Lobe","Anxiety Disorders","1"
"CA3 field","Sequela of disorder","1"
"Globus Pallidus","Syndrome, Bloch-Sulzberger","1"
"central amygdalar nucleus","Aicardi's syndrome","1"
"Lobe, Frontal","Salivary Gland Diseases","1"
"Structure of piriform area","Recurrent disease","1"
"Cerebellum","Gaucher Disease","1"
"Structure of supracallosal gyrus","cortex bone disorders","1"
"Tectoreticular fibers","Spinal Cord Diseases","1"
"Parolfactory area structure (body structure)","Spastic syndrome","1"
"Parahippocampal Gyrus","Lewy Body Disease","1"
"Habenula","Sequela of disorder","1"
"Premotor cortex","Tic disorder","1"
"Nuclei, Raphe","Brain Diseases","1"
"Structure of commissure of superior colliculus","Congenital secretory diarrhea, sodium type (disorder)","1"
"Hypothalamic structure","Cornelia De Lange Syndrome","1"
"Vestibular nucleus structure","Syndrome","1"
"Purkinje cell antibody","Cerebellar Diseases","1"
"Lobe, Frontal","Impulse Control Disorders","1"
"Structure of optic recess of third ventricle","Pituitary Diseases","1"
"Anteroventral Thalamic Nucleus","Functional disorder","1"
"Structure of habenulopeduncular tract","Pervasive Development Disorder","1"
"Stria medullaris","Cockayne Syndrome","1"
"Cerebellar cortex structure","Demyelinating Diseases","1"
"Lateral posterior nucleus of thalamus","Hashimoto Disease","1"
"Lateral tuberal nuclei","Adult Fanconi syndrome","1"
"Structure of gyrus rectus","Disorder nervous system","1"
"Structure of terminal stria nuclei of preoptic region","Neurotoxicity Syndromes","1"
"Median eminence of hypothalamus","Meckel syndrome type 1","1"
"Basal Forebrain","Attention Deficit Disorder","1"
"Superior paraolivary nucleus","cortex bone disorders","1"
"Amygdaloid structure","Van der Woude syndrome","1"
"lateral amygdalar nucleus","Disease Progression","1"
"Prosencephalon","Sudden infant death syndrome","1"
"Reuniens Thalamic Nucleus","Disorder of pineal gland","1"
"Pedunculopontine Tegmental Nucleus","Sequela of disorder","1"
"Entire medulla oblongata","Disease Progression","1"
"lateral amygdalar nucleus","Neurotoxicity Syndromes","1"
"Flocculus","DISORDERS OF THE OPTIC NERVE","1"
"Brain White Matter","Disease Progression","1"
"Brain Stem","Tracheal Diseases","1"
"Brain Gray Matter","Functional disorder","1"
"Lateral olfactory striae","DISORDERS OF THE OPTIC NERVE","1"
"Nucleus of anterior commissure","Gardner Syndrome","1"
"Structure of tectobulbar tract","Sweet Syndrome","1"
"Somatosensory Cortex","Prune Belly Syndrome","1"
"Thalamic structure","Bradyarrhythmia (disorder)","1"
"Structure of cingulum","Parkinson Disease","1"
"Pituitary Gland","Feline urological syndrome","1"
"Pyramidal Cells","Vasodilation disorder","1"
"CA3 field","Hyposmolality syndrome","1"
"Intermediate periventricular nucleus","Herpes zoster disease","1"
"Nucleus solitarius","Binge eating disorder","1"
"Caudate nucleus structure","Autonomic nervous system disorders","1"
"Genus Hippocampus","Behavioral syndrome associated with physiological disturbance and physical factors","1"
"Amygdaloid structure","Adrenal Cushing's syndrome","1"
"CA1 field","Disorders, Mental","1"
"Structure of nucleus prepositus","Diseases of inner ear","1"
"Anterior Nuclear Group","Stereotypic Movement Disorder","1"
"Structure of median forebrain bundle","Retinal Diseases","1"
"Entire thalamus","Functional disorder","1"
"Rostrotemporal auditory area","Mucocutaneous Lymph Node Syndrome","1"
"Diagonal Band of Broca","Testicular Diseases","1"
"Structure of forceps minor","Somatoform pain disorder","1"
"Purkinje Cells","Diseases of inner ear","1"
"Structure of vestibulospinal tract","Sensorineural hearing loss (disorder)","1"
"Midbrain nucleus","Spinal Cord Diseases","1"
"Dorsal Septal Nucleus","DiGeorge Syndrome","1"
"Frontal operculum","Syndrome","1"
"Diagonal Band of Broca","Retinal Diseases","1"
"Structure of hippocampal fissure","Pili torti-deafness syndrome","1"
"Posterior Thalamic Nuclei","Depressive disorder","1"
"Rhinencephalon structure","Kallmann Syndrome","1"
"Structure of hippocampal fissure","Ataxia as late effect of cerebrovascular disease","1"
"Cerebral hemisphere structure (body structure)","Chronic infectious disease","1"
"Orbitofrontal cortex","Skin endocrine disorder","1"
"Neocortex","Shy-Drager Syndrome","1"
"CA3 field","Developmental delay (disorder)","1"
"Insula of Reil","other psychiatric disorders","1"
"Anterodorsal nucleus of thalamus","Sequela of disorder","1"
"Olfactory Nerve","Peripheral Arterial Diseases","1"
"Red nucleus structure","Depressive disorder","1"
"Pineal gland","Down Syndrome","1"
"Right inferior frontal gyrus","Fetal Alcohol Syndrome","1"
"Cerebellum","Salivary Gland Diseases","1"
"Hypothalamic structure","McCune-Albright Syndrome","1"
"Sensorimotor Cortex","Movement Disorders","1"
"Planum polare (PP)","Colonic Diseases","1"
"Genus Hippocampus","Attention deficit hyperactivity disorder","1"
"Left primary motor cortex","Spinal Cord Diseases","1"
"Trigeminal nerve motor nucleus","Neurotoxicity Syndromes","1"
"Structure of subcommissural organ","Spinal Cord Diseases","1"
"Solitary tract","Popliteal pterygium syndrome","1"
"Lateral occipital gyrus","Bipolar Disorder","1"
"mossy fiber","Russell-Silver syndrome","1"
"Left inferior frontal gyrus","Fetal Alcohol Syndrome","1"
"Pedunculopontine Tegmental Nucleus","Virus Diseases","1"
"Structure of supramammillary nucleus","Temporomandibular Joint Disorders","1"
"Corpus Callosum","Premenstrual syndrome","1"
"Lateral Dorsal Nucleus","Syndrome","1"
"Posterior Hypothalamic Region","Retinal Diseases","1"
